=== 键盘监控日志 ===
开始时间: 2025-12-04 22:11:45
目标主机: 127.0.0.1
==================================================

[2025-12-04T22:11:48.409573] a
[2025-12-04T22:11:49.538538] backspace
[2025-12-04T22:11:50.466363] w
[2025-12-04T22:11:50.570764] d
[2025-12-04T22:11:50.702636] a
[2025-12-04T22:11:50.825708] s
[2025-12-04T22:11:50.889829] d
[2025-12-04T22:11:51.059566] l
[2025-12-04T22:11:51.102531] k
[2025-12-04T22:11:51.151834] j
[2025-12-04T22:11:51.284373] l
[2025-12-04T22:11:51.358805] w
[2025-12-04T22:11:51.508033] a
[2025-12-04T22:11:51.630848] d
[2025-12-04T22:11:51.713204] backspace
[2025-12-04T22:11:52.106940] shift_r
[2025-12-04T22:12:15.791713] d
[2025-12-04T22:12:15.871040] w
[2025-12-04T22:12:15.951678] a
[2025-12-04T22:12:16.055641] d
[2025-12-04T22:12:16.120009] s
[2025-12-04T22:12:16.166759] a
[2025-12-04T22:12:16.269906] d
[2025-12-04T22:12:16.399115] w
[2025-12-04T22:12:16.495259] d
[2025-12-04T22:12:16.584707] a
[2025-12-04T22:12:16.735180] d
[2025-12-04T22:12:17.727019] 1
[2025-12-04T22:12:18.145374] 7
[2025-12-04T22:12:19.392640] 4
[2025-12-04T22:12:19.509142] 0
[2025-12-04T22:12:19.721496] 4
[2025-12-04T22:12:19.994813] 9
[2025-12-04T22:12:20.688578] 2
[2025-12-04T22:12:21.163858] a
[2025-12-04T22:12:21.249176] s
[2025-12-04T22:12:21.302875] d
[2025-12-04T22:12:21.461199] a
[2025-12-04T22:12:21.538079] w
[2025-12-04T22:12:21.663550] d
[2025-12-04T22:12:22.934703] delete
[2025-12-04T22:12:25.580252] ctrl_l
[2025-12-04T22:12:25.745980] 

==================================================
结束时间: 2025-12-04 22:12:26
=== 监控结束 ===
